λ,d
380,298.1449737
381,298.1005909
382,298.0563746
383,298.0123246
384,297.9684403
385,297.9247213
386,297.8811674
387,297.8377781
388,297.794553
389,297.7514918
390,297.708594
391,297.6658593
392,297.6232872
393,297.5808774
394,297.5386296
395,297.4965433
396,297.454618
397,297.4128536
398,297.3712495
399,297.3298053
400,297.2885208
401,297.2473954
402,297.2064288
403,297.1656207
404,297.1249706
405,297.0844781
406,297.044143
407,297.0039646
408,296.9639428
409,296.9240771
410,296.8843671
411,296.8448124
412,296.8054126
413,296.7661674
414,296.7270764
415,296.6881391
416,296.6493553
417,296.6107244
418,296.5722462
419,296.5339202
420,296.495746
421,296.4577233
422,296.4198517
423,296.3821308
424,296.3445601
425,296.3071394
426,296.2698682
427,296.2327461
428,296.1957728
429,296.1589478
430,296.1222708
431,296.0857414
432,296.0493592
433,296.0131238
434,295.9770349
435,295.9410919
436,295.9052947
437,295.8696427
438,295.8341356
439,295.798773
440,295.7635545
441,295.7284797
442,295.6935482
443,295.6587597
444,295.6241137
445,295.58961
446,295.555248
447,295.5210274
448,295.4869478
449,295.4530088
450,295.4192101
451,295.3855513
452,295.3520319
453,295.3186515
454,295.2854099
455,295.2523066
456,295.2193412
457,295.1865133
458,295.1538225
459,295.1212686
460,295.0888509
461,295.0565693
462,295.0244233
463,294.9924124
464,294.9605364
465,294.9287949
466,294.8971874
467,294.8657135
468,294.8343729
469,294.8031652
470,294.77209
471,294.7411469
472,294.7103356
473,294.6796556
474,294.6491065
475,294.618688
476,294.5883997
477,294.5582411
478,294.528212
479,294.4983119
480,294.4685405
481,294.4388972
482,294.4093819
483,294.379994
484,294.3507332
485,294.321599
486,294.2925912
487,294.2637094
488,294.234953
489,294.2063218
490,294.1778154
491,294.1494333
492,294.1211753
493,294.0930408
494,294.0650296
495,294.0371411
496,294.0093752
497,293.9817312
498,293.954209
499,293.926808
500,293.8995279
501,293.8723684
502,293.8453289
503,293.8184092
504,293.7916088
505,293.7649274
506,293.7383646
507,293.7119199
508,293.6855931
509,293.6593836
510,293.6332912
511,293.6073154
512,293.5814559
513,293.5557122
514,293.5300841
515,293.504571
516,293.4791726
517,293.4538885
518,293.4287184
519,293.4036618
520,293.3787183
521,293.3538877
522,293.3291694
523,293.3045631
524,293.2800684
525,293.2556849
526,293.2314123
527,293.2072501
528,293.183198
529,293.1592556
530,293.1354224
531,293.1116982
532,293.0880824
533,293.0645748
534,293.0411749
535,293.0178824
536,292.9946969
537,292.9716179
538,292.9486451
539,292.9257781
540,292.9030166
541,292.8803601
542,292.8578082
543,292.8353606
544,292.8130168
545,292.7907766
546,292.7686394
547,292.7466049
548,292.7246728
549,292.7028426
550,292.681114
551,292.6594865
552,292.6379598
553,292.6165335
554,292.5952071
555,292.5739804
556,292.552853
557,292.5318244
558,292.5108942
559,292.4900621
560,292.4693277
561,292.4486905
562,292.4281503
563,292.4077066
564,292.387359
565,292.3671072
566,292.3469508
567,292.3268893
568,292.3069224
569,292.2870497
570,292.2672708
571,292.2475853
572,292.2279929
573,292.2084931
574,292.1890856
575,292.16977
576,292.1505458
577,292.1314128
578,292.1123705
579,292.0934185
580,292.0745565
581,292.055784
582,292.0371007
583,292.0185061
584,292
585,291.9815819
586,291.9632514
587,291.9450081
588,291.9268517
589,291.9087817
590,291.8907978
591,291.8728996
592,291.8550867
593,291.8373588
594,291.8197153
595,291.802156
596,291.7846804
597,291.7672882
598,291.749979
599,291.7327524
600,291.715608
601,291.6985454
602,291.6815642
603,291.6646641
604,291.6478447
605,291.6311055
606,291.6144462
607,291.5978664
608,291.5813657
609,291.5649437
610,291.5486001
611,291.5323344
612,291.5161463
613,291.5000353
614,291.4840012
615,291.4680434
616,291.4521617
617,291.4363556
618,291.4206247
619,291.4049687
620,291.3893872
621,291.3738797
622,291.3584459
623,291.3430855
624,291.3277979
625,291.3125829
626,291.2974401
627,291.282369
628,291.2673693
629,291.2524405
630,291.2375824
631,291.2227945
632,291.2080764
633,291.1934277
634,291.1788481
635,291.1643372
636,291.1498945
637,291.1355197
638,291.1212125
639,291.1069723
640,291.0927989
641,291.0786918
642,291.0646507
643,291.0506752
644,291.0367648
645,291.0229192
646,291.0091381
647,290.9954209
648,290.9817674
649,290.9681772
650,290.9546498
651,290.9411849
