波長,光源スペクトル
380,0.001267
381,0.001267
382,0.001267
383,0.001183
384,0.000996
385,0.000695
386,0.000364
387,0.000294
388,0.000514
389,0.000962
390,0.00124
391,0.001329
392,0.001259
393,0.001142
394,0.000989
395,0.000911
396,0.000922
397,0.001052
398,0.001259
399,0.001543
400,0.001903
401,0.002302
402,0.002787
403,0.003407
404,0.004158
405,0.004902
406,0.00552
407,0.006062
408,0.006858
409,0.007939
410,0.009561
411,0.011698
412,0.014353
413,0.017344
414,0.020462
415,0.02425
416,0.029279
417,0.035549
418,0.043055
419,0.05118
420,0.060269
421,0.070559
422,0.08197
423,0.095247
424,0.109987
425,0.126481
426,0.144914
427,0.164912
428,0.187515
429,0.212219
430,0.239168
431,0.268579
432,0.299685
433,0.333311
434,0.368734
435,0.405955
436,0.446088
437,0.488309
438,0.533481
439,0.580549
440,0.62951
441,0.683414
442,0.741586
443,0.805195
444,0.872218
445,0.9423
446,1.017069
447,1.09512
448,1.177203
449,1.262071
450,1.349237
451,1.435127
452,1.517507
453,1.594424
454,1.663874
455,1.726542
456,1.77475
457,1.810539
458,1.829846
459,1.831187
460,1.817348
461,1.781813
462,1.732439
463,1.668623
464,1.599281
465,1.527674
466,1.454546
467,1.381605
468,1.310018
469,1.242626
470,1.179385
471,1.121841
472,1.067705
473,1.018074
474,0.972599
475,0.930586
476,0.891566
477,0.853291
478,0.816299
479,0.780883
480,0.746925
481,0.715437
482,0.685665
483,0.658541
484,0.63368
485,0.61092
486,0.590894
487,0.572454
488,0.557043
489,0.544338
490,0.534511
491,0.528033
492,0.523657
493,0.521752
494,0.520705
495,0.520872
496,0.522997
497,0.52678
498,0.533348
499,0.54181
500,0.552518
501,0.564626
502,0.577725
503,0.592894
504,0.609594
505,0.627962
506,0.64669
507,0.66583
508,0.686457
509,0.708445
510,0.731434
511,0.754124
512,0.776614
513,0.799341
514,0.822393
515,0.845678
516,0.868969
517,0.892104
518,0.914924
519,0.93745
520,0.959979
521,0.982664
522,1.004478
523,1.024968
524,1.044111
525,1.062873
526,1.08156
527,1.099297
528,1.116119
529,1.13218
530,1.148452
531,1.164417
532,1.178718
533,1.191284
534,1.202944
535,1.214933
536,1.22705
537,1.238852
538,1.249983
539,1.259687
540,1.268096
541,1.276097
542,1.284691
543,1.293421
544,1.301432
545,1.308424
546,1.314176
547,1.318997
548,1.323479
549,1.328314
550,1.332967
551,1.336812
552,1.339529
553,1.341088
554,1.341896
555,1.344302
556,1.348872
557,1.353004
558,1.353896
559,1.352359
560,1.351743
561,1.352287
562,1.351153
563,1.347475
564,1.344002
565,1.342925
566,1.34323
567,1.342172
568,1.339962
569,1.338168
570,1.337025
571,1.334572
572,1.330256
573,1.324522
574,1.318978
575,1.313988
576,1.309575
577,1.305461
578,1.300924
579,1.29555
580,1.288644
581,1.280562
582,1.271757
583,1.263192
584,1.255393
585,1.248308
586,1.241538
587,1.234207
588,1.226441
589,1.219282
590,1.212722
591,1.203807
592,1.19189
593,1.18011
594,1.171343
595,1.164337
596,1.155855
597,1.145586
598,1.134716
599,1.124415
600,1.115966
601,1.108727
602,1.099179
603,1.08617
604,1.071731
605,1.058667
606,1.047721
607,1.037682
608,1.028137
609,1.018136
610,1.007343
611,0.996005
612,0.983811
613,0.970378
614,0.95617
615,0.942346
616,0.929526
617,0.917478
618,0.905478
619,0.892917
620,0.879725
621,0.866113
622,0.852688
623,0.839606
624,0.826725
625,0.814093
626,0.801575
627,0.78988
628,0.779395
629,0.769416
630,0.758601
631,0.746655
632,0.734447
633,0.722191
634,0.709075
635,0.695359
636,0.682499
637,0.671111
638,0.660592
639,0.649869
640,0.638974
641,0.62806
642,0.617111
643,0.606096
644,0.594385
645,0.582042
646,0.57072
647,0.561048
648,0.550911
649,0.538689
650,0.526633
651,0.516897
652,0.509079
653,0.500902
654,0.490521
655,0.478212
656,0.466767
657,0.458199
658,0.451227
659,0.44295
660,0.433359
661,0.423893
662,0.415181
663,0.407023
664,0.399516
665,0.392175
666,0.384786
667,0.377221
668,0.368732
669,0.359532
670,0.35115
671,0.344302
672,0.338638
673,0.33258
674,0.325726
675,0.318486
676,0.311379
677,0.304857
678,0.298902
679,0.292923
680,0.2866
681,0.279967
682,0.273341
683,0.267032
684,0.260948
685,0.254902
686,0.248883
687,0.242991
688,0.237293
689,0.232307
690,0.228111
691,0.223978
692,0.219252
693,0.213205
694,0.20658
695,0.20134
696,0.197817
697,0.19504
698,0.191366
699,0.1874
700,0.183716
701,0.179753
702,0.175351
703,0.17098
704,0.166888
705,0.162791
706,0.158429
707,0.153964
708,0.150129
709,0.146856
710,0.143559
711,0.139943
712,0.136751
713,0.133927
714,0.130652
715,0.127381
716,0.12502
717,0.122828
718,0.119685
719,0.115033
720,0.110705
721,0.1079
722,0.106114
723,0.104145
724,0.101386
725,0.098697
726,0.096024
727,0.093221
728,0.09117
729,0.089604
730,0.087331
731,0.084165
732,0.081221
733,0.079267
734,0.077577
735,0.076086
736,0.074793
737,0.073567
738,0.072381
739,0.071317
740,0.07003
741,0.068382
742,0.06642
743,0.064738
744,0.063407
745,0.062018
746,0.06042
747,0.05871
748,0.057063
749,0.055291
750,0.053801
