波長,surface
380,0.001241
381,0.001241
382,0.001241
383,0.001313
384,0.001524
385,0.001843
386,0.001936
387,0.001737
388,0.001366
389,0.001178
390,0.001171
391,0.001303
392,0.001486
393,0.001669
394,0.001664
395,0.001465
396,0.001125
397,0.000786
398,0.000457
399,0.000295
400,0.000298
401,0.000487
402,0.000739
403,0.001056
404,0.001369
405,0.001638
406,0.001809
407,0.001774
408,0.001539
409,0.001284
410,0.001208
411,0.001318
412,0.001533
413,0.001797
414,0.002083
415,0.002327
416,0.00253
417,0.002875
418,0.003391
419,0.004187
420,0.005281
421,0.006666
422,0.008338
423,0.010142
424,0.012168
425,0.01458
426,0.017355
427,0.020689
428,0.02444
429,0.028644
430,0.033246
431,0.038115
432,0.043813
433,0.050529
434,0.05831
435,0.067689
436,0.078245
437,0.090798
438,0.105111
439,0.121182
440,0.138851
441,0.157265
442,0.176922
443,0.19785
444,0.220009
445,0.240542
446,0.258358
447,0.272068
448,0.281274
449,0.286334
450,0.28539
451,0.280418
452,0.270633
453,0.257278
454,0.241135
455,0.222847
456,0.204374
457,0.185955
458,0.168465
459,0.151949
460,0.137589
461,0.125164
462,0.114811
463,0.105573
464,0.096937
465,0.089423
466,0.082811
467,0.077166
468,0.072044
469,0.0672
470,0.062836
471,0.058831
472,0.055283
473,0.052219
474,0.049545
475,0.047293
476,0.04521
477,0.043384
478,0.041897
479,0.040709
480,0.039945
481,0.03944
482,0.039213
483,0.039091
484,0.039025
485,0.038892
486,0.03864
487,0.038455
488,0.038687
489,0.039349
490,0.040471
491,0.041812
492,0.043509
493,0.045474
494,0.047721
495,0.050336
496,0.053196
497,0.056575
498,0.060413
499,0.064706
500,0.069154
501,0.073595
502,0.078264
503,0.083229
504,0.088584
505,0.094257
506,0.100183
507,0.106215
508,0.112189
509,0.11815
510,0.124194
511,0.13033
512,0.136558
513,0.142839
514,0.148803
515,0.154264
516,0.159281
517,0.164341
518,0.169586
519,0.174543
520,0.179052
521,0.183131
522,0.187208
523,0.191268
524,0.195052
525,0.198546
526,0.201786
527,0.205013
528,0.207938
529,0.210162
530,0.211711
531,0.213357
532,0.215511
533,0.217946
534,0.220083
535,0.221733
536,0.222717
537,0.22313
538,0.22354
539,0.224338
540,0.225103
541,0.225216
542,0.224844
543,0.224812
544,0.225359
545,0.225459
546,0.224678
547,0.223184
548,0.221923
549,0.220772
550,0.219255
551,0.217278
552,0.215057
553,0.2129
554,0.210683
555,0.208295
556,0.205785
557,0.203345
558,0.200996
559,0.198489
560,0.195753
561,0.192592
562,0.189163
563,0.185263
564,0.180956
565,0.176461
566,0.17243
567,0.169022
568,0.16581
569,0.162344
570,0.158397
571,0.154142
572,0.149858
573,0.146067
574,0.142902
575,0.140268
576,0.13787
577,0.135713
578,0.133617
579,0.131936
580,0.130731
581,0.130357
582,0.130799
583,0.132089
584,0.134261
585,0.13699
586,0.140358
587,0.143974
588,0.148204
589,0.152884
590,0.158192
591,0.163853
592,0.16994
593,0.176479
594,0.183272
595,0.189848
596,0.196009
597,0.20196
598,0.208024
599,0.21353
600,0.21824
601,0.221975
602,0.225313
603,0.22826
604,0.230865
605,0.233146
606,0.235056
607,0.236631
608,0.237397
609,0.23752
610,0.23692
611,0.236143
612,0.235026
613,0.233712
614,0.232165
615,0.230535
616,0.228688
617,0.226528
618,0.224273
619,0.222365
620,0.220712
621,0.21857
622,0.215689
623,0.212448
624,0.209394
625,0.206574
626,0.203837
627,0.201276
628,0.198821
629,0.196162
630,0.193141
631,0.190042
632,0.187271
633,0.18465
634,0.181768
635,0.178633
636,0.17556
637,0.172616
638,0.169637
639,0.16661
640,0.163688
641,0.16087
642,0.157984
643,0.154912
644,0.151665
645,0.148434
646,0.145511
647,0.14291
648,0.140398
649,0.137707
650,0.134878
651,0.132075
652,0.129434
653,0.126937
654,0.12443
655,0.121795
656,0.119267
657,0.116978
658,0.114844
659,0.112632
660,0.110146
661,0.107466
662,0.104928
663,0.102715
664,0.100504
665,0.098008
666,0.095748
667,0.094008
668,0.09256
669,0.090868
670,0.088663
671,0.086208
672,0.083954
673,0.082215
674,0.081059
675,0.079982
676,0.07864
677,0.076922
678,0.074984
679,0.073161
680,0.071476
681,0.069862
682,0.068305
683,0.066715
684,0.065038
685,0.063375
686,0.061863
687,0.060615
688,0.059566
689,0.058446
690,0.057114
691,0.055371
692,0.05335
693,0.051592
694,0.050312
695,0.049474
696,0.048591
697,0.047408
698,0.046054
699,0.044715
700,0.043568
701,0.042533
702,0.041405
703,0.040159
704,0.03901
705,0.038109
706,0.037246
707,0.036157
708,0.03493
709,0.033852
710,0.033157
711,0.032656
712,0.03235
713,0.03197
714,0.03134
715,0.030655
716,0.03019
717,0.029799
718,0.029159
719,0.028155
720,0.027105
721,0.026124
722,0.025215
723,0.024468
724,0.023805
725,0.023125
726,0.022648
727,0.022532
728,0.02223
729,0.021499
730,0.020524
731,0.01984
732,0.019295
733,0.018737
734,0.018284
735,0.017926
736,0.017564
737,0.017267
738,0.01708
739,0.016927
740,0.016762
741,0.01666
742,0.016156
743,0.015289
744,0.014374
745,0.013974
746,0.014011
747,0.014047
748,0.01398
749,0.013556
750,0.013028
